label_number,intercept,age_coefficient,sex_coefficient,residual_se
1,3.1370637782726982,-0.008897603112775597,-0.019092634438087695,0.4727697421661413
2,3.3188628454575486,-0.009239286964512303,-0.0450109971225388,0.5688950511917767
3,2.8281483619297423,-0.010676723344154168,-0.0009556796506723504,0.5257442530343549
4,3.0203819277518833,-0.006466309993697215,0.03207228264350391,0.5561874443911073
5,3.3524015993107597,-0.007306374273308689,-0.04072808308890251,0.4618163379522527
6,2.6843506643648505,-0.006646346415082868,0.0004899443227365035,0.42377707825554073
7,3.7800942335261296,-0.008225213986475246,-0.10041397108076916,0.5667916031826934
8,2.9194715592991223,-0.009950792711765941,-0.056430282265981416,0.5284818475087478
9,2.312215789495622,-0.003195975869615504,-0.08471801784364631,0.4109505034256773
10,1.9580082426140555,-0.006763556552467472,-0.028947282421788595,0.35109578941891545
11,1.9708739361263272,-0.007991132628851181,-0.026792510153244724,0.37432818022847714
12,2.3634233072683304,-0.005937714986114722,-0.008984966986693207,0.44154887782867236
13,2.6223455421681128,-0.0037477431912003307,-0.0027313305789282,0.4310530437775538
14,2.013676994923104,-0.004333257094586084,-0.02760534501140365,0.42648412282221887
15,1.555329489193428,-0.005718667834980467,-0.05542975286873504,0.3561181434942301
16,2.489459509116474,-0.007639666632432793,-0.009962541152261082,0.5437064513525369
17,1.9995119614072379,-0.005844097495747748,-0.04891966742075763,0.45360738252057925
18,2.8235912069293208,-0.004934752762045569,0.016426036950898778,0.43814171958989023
19,2.2392283179690544,-0.006349335470325219,0.012469646709369724,0.5031641594982971
20,1.6270742199849746,-0.00539963032372559,0.00943946871785119,0.4864269568033559
21,2.362767144865281,-0.0014872962398377349,-0.08043419107070646,0.47508875959103003
22,2.59356001867416,-0.007204716912771823,-0.08843670863234022,0.41256440949722994
23,2.433053118087863,-0.001687424934614889,-0.11658042190068382,0.30964696598884384
24,3.1525592301389596,-0.007288522985741505,-0.07880747769769578,0.42939416259019436
25,2.651808891816138,-0.005502136334947497,-0.06844940434679268,0.41841873230556825
26,3.259009546625555,-0.003922735808435444,-0.07224983373831909,0.434898355897804
27,2.0741837000786862,-0.004155658583731858,-0.051601688733419485,0.39902278982075107
28,2.217040520296681,-0.003498007987391715,-0.09448859626973428,0.4348592421921685
29,4.492266712473194,-0.006859827063037181,-0.07989963012237015,0.516836077825847
30,3.9335481777034254,-0.008929752837730842,-0.03176635779653168,0.5280806030066665
31,3.512099465331293,-0.011443464438181703,-0.03546847442018442,0.4828953971447064
32,2.2216639561530522,-0.004656305065626666,-0.02297145071719327,0.3639812109756659
33,2.597683737290005,-0.006045907599061757,-0.008709067122818877,0.41289454636138845
34,2.349231834942777,-0.0029246036804470854,-0.035302367370505044,0.370677462795877
35,2.176910648412589,-0.002259675960762109,0.01277240954469374,0.35708768235972405
36,1.744252691883668,-0.0012255950426344154,-0.032345166781010876,0.3160663970996012
37,2.3090628283442367,-0.0059229835035287896,-0.025316615085606634,0.3493353492269665
38,2.526855440942125,-0.005967419405397357,-0.003352239441353001,0.44319159685192583
39,2.5809018460511726,-0.005548211138381042,-0.06989494641282133,0.34380618909195754
40,3.08165013421246,-0.005756649071446615,-0.04864349548673306,0.4272914418374813
41,4.425377736815122,-0.005737857325375974,-0.1582789325003383,0.4887201493153376
42,2.738682847612247,-0.005435887218942613,-0.11141789270751565,0.3174369008870765
43,3.0315462559883866,-0.008091086222496317,-0.03530530889751648,0.42591294173833916
44,2.3353663940068405,-0.004268842584683318,-0.04398780959267954,0.37006680592699587
45,3.0364158932227197,-0.005287369444437815,-0.06705322852341004,0.37357494117045675
46,3.1382672766261357,-0.006808659065239142,0.0408984897744047,0.4368601838866642
47,3.067414534361718,-0.005361681393317523,-0.03759336123928039,0.4385532073279338
48,2.9275792686805815,-0.003253856915346588,-0.11026475278102432,0.3760506210479336
49,3.1528971623493116,-0.005341738219252851,-0.1660816971874222,0.34170013779696395
50,3.2690578443662486,-0.0020455254991293085,-0.08261063143098131,0.4068709204731037
51,3.66441006915602,-0.007243428698287002,-0.03407240843591495,0.456163852504045
52,3.300271573986365,-0.005170318428995695,-0.01612346060777141,0.37743204017227233
53,5.052440112105773,-0.008300126846750605,-0.0011451309164318697,0.4891479891866535
54,3.925071744956104,-0.005914011470138766,-0.02626509331300708,0.46860603841740456
55,5.083564721259769,-0.006835160191899372,-0.0189110024386239,0.5458826699099875
